slot,interval_label,price_yuan_per_kwh,load_kwh,pv_forecast_kwh,purchase_kwh,charge_kwh,discharge_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,cost_yuan
28,04:30-04:40,0.4393,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,0.0,10050.0,10050.0,262.11966429666666
29,04:40-04:50,0.4422,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,0.0,10050.0,10050.0,264.33842655
30,04:50-05:00,0.4395,595.2105833333334,0.04808333333333333,595.1625,0.0,0.0,0.0,10050.0,10050.0,261.57391875
31,05:00-05:10,0.4333,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,0.0,10050.0,10050.0,255.90979645000002
32,05:10-05:20,0.4439,598.5634833333334,9.0783,589.4851833333333,0.0,0.0,0.0,10050.0,10050.0,261.6724728816667
33,05:20-05:30,0.4301,596.6174166666666,18.161966666666668,578.4554499999999,0.0,0.0,0.0,10050.0,10050.0,248.79368904499995
34,05:30-05:40,0.3713,581.0198333333334,30.693383333333333,1383.6597833333335,833.3333333333334,0.0,0.0,10050.0,10800.0,513.7528775516668
35,05:40-05:50,0.5708,637.3165666666666,46.17636666666667,591.1401999999999,0.0,-0.0,0.0,10800.0,10800.0,337.42282615999994
36,05:50-06:00,0.9099,733.0121166666667,64.75823333333334,0.0,0.0,668.2538833333333,0.0,10800.0,10057.495685185186,0.0
37,06:00-06:10,0.9368,742.3353833333334,86.88005,0.0,0.0,655.4553333333334,0.0,10057.495685185186,9329.211981481481,0.0
38,06:10-06:20,0.8758,728.6319833333333,112.12795,0.0,0.0,616.5040333333334,0.0,9329.211981481481,8644.2075,0.0
39,06:20-06:30,0.8759,732.1588333333334,140.70435,0.0,0.0,591.4544833333334,0.0,8644.2075,7987.035851851852,0.0
40,06:30-06:40,0.8601,730.7659333333332,173.2790666666667,0.0,0.0,557.4868666666665,0.0,7987.035851851852,7367.606000000001,0.0
41,06:40-06:50,0.8442,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,0.0,7367.606000000001,6779.561888888889,0.0
42,06:50-07:00,0.8334,753.90935,251.43863333333334,0.0,0.0,502.4707166666667,0.0,6779.561888888889,6221.261092592593,0.0
43,07:00-07:10,0.8092,754.0120166666667,298.56845,0.0,0.0,455.4435666666667,0.0,6221.261092592593,5715.212685185185,0.0
44,07:10-07:20,0.7972,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,0.0,5715.212685185185,5259.583018518519,0.0
45,07:20-07:30,0.7644,753.8736333333333,396.87685000000005,0.0,0.0,356.9967833333332,0.0,5259.583018518519,4862.919925925926,0.0
46,07:30-07:40,0.6899,730.5594333333333,447.1958666666667,0.0,0.0,283.36356666666666,0.0,4862.919925925926,4548.071518518518,0.0
47,07:40-07:50,0.86,818.4099833333333,497.72586666666666,0.0,0.0,320.6841166666667,0.0,4548.071518518518,4191.755833333333,0.0
48,07:50-08:00,1.1617,966.6221166666666,548.2006666666667,0.0,0.0,418.4214499999998,0.0,4191.755833333333,3726.843111111111,0.0
49,08:00-08:10,1.1683,980.8043333333334,598.89355,0.0,0.0,381.91078333333337,0.0,3726.843111111111,3302.4977962962957,0.0
50,08:10-08:20,1.0956,958.0118833333332,648.4555333333334,0.0,0.0,309.55634999999984,0.0,3302.4977962962957,2958.546296296296,0.0
51,08:20-08:30,1.0849,961.5096833333333,696.8902833333333,0.0,0.0,264.61940000000004,0.0,2958.546296296296,2664.5247407407405,0.0
52,08:30-08:40,1.061,959.0350833333333,745.2942833333333,0.0,0.0,213.74080000000004,0.0,2664.5247407407405,2427.0349629629627,0.0
53,08:40-08:50,1.043,970.6967833333333,792.1378666666666,0.0,0.0,178.55891666666673,0.0,2427.0349629629627,2228.636166666666,0.0
54,08:50-09:00,1.036,992.3766833333334,836.9845666666666,0.0,0.0,155.39211666666677,0.0,2228.636166666666,2055.9782592592587,0.0
55,09:00-09:10,1.0147,993.1616,880.9020999999999,0.0,0.0,112.25950000000012,0.0,2055.9782592592587,1931.2454814814807,0.0
56,09:10-09:20,0.9922,988.2592333333333,923.8623666666667,0.0,0.0,64.3968666666666,0.0,1931.2454814814807,1859.6934074074068,0.0
57,09:20-09:30,0.97,987.2971333333334,964.7348833333334,0.0,0.0,22.56224999999995,0.0,1859.6934074074068,1834.62424074074,0.0
58,09:30-09:40,0.9422,984.5976666666667,1002.0217333333334,0.0,17.424066666666704,0.0,0.0,1834.62424074074,1850.30590074074,0.0
59,09:40-09:50,0.9569,983.1877,1036.0254666666667,0.0,52.83776666666677,0.0,0.0,1850.30590074074,1897.8598907407402,0.0
60,09:50-10:00,0.9977,983.7032666666668,1068.2656833333333,0.0,84.56241666666654,0.0,0.0,1897.8598907407402,1973.96606574074,0.0
61,10:00-10:10,0.9919,982.9132166666667,1099.8968,0.0,116.98358333333329,0.0,0.0,1973.96606574074,2079.25129074074,0.0
62,10:10-10:20,0.9588,981.1261333333333,1127.7867333333334,0.0,146.66060000000004,0.0,0.0,2079.25129074074,2211.24583074074,0.0
63,10:20-10:30,0.9549,978.9118,1152.4320500000001,0.0,173.52025000000015,0.0,0.0,2211.24583074074,2367.4140557407404,0.0
64,10:30-10:40,0.9839,976.3384666666667,1177.36755,0.0,201.02908333333323,0.0,0.0,2367.4140557407404,2548.3402307407405,0.0
65,10:40-10:50,0.799,974.1658000000001,1199.5719166666665,0.0,225.40611666666643,0.0,0.0,2548.3402307407405,2751.2057357407402,0.0
66,10:50-11:00,0.5025,973.1764499999999,1217.1857,0.0,244.00925000000007,0.0,0.0,2751.2057357407402,2970.8140607407404,0.0
67,11:00-11:10,0.4662,973.1183833333333,1231.2808,575.1709166666667,833.3333333333334,0.0,0.0,2970.8140607407404,3720.8140607407404,268.14468135000004
68,11:10-11:20,0.5007,970.5729666666666,1243.2045,0.0,272.63153333333344,0.0,0.0,3720.8140607407404,3966.1824407407403,0.0
69,11:20-11:30,0.4827,969.1322,1253.4531833333333,0.0,284.3209833333333,0.0,0.0,3966.1824407407403,4222.071325740741,0.0
70,11:30-11:40,0.4785,972.06585,1261.3673166666667,179.27717139917968,468.57863806584646,0.0,0.0,4222.071325740741,4643.792100000002,85.78412651450748
71,11:40-11:50,0.4662,952.1501666666667,1265.3589833333333,520.1245166666668,833.3333333333334,0.0,0.0,4643.792100000002,5393.792100000002,242.48204967000004
72,11:50-12:00,0.4432,919.9101166666666,1266.8405500000001,486.4028999999998,833.3333333333334,0.0,0.0,5393.792100000002,6143.792100000002,215.57376527999992
73,12:00-12:10,0.4411,915.7984499999999,1268.7193333333332,480.41245000000004,833.3333333333334,0.0,0.0,6143.792100000002,6893.792100000002,211.909931695
74,12:10-12:20,0.4551,919.0754000000001,1267.1087333333332,485.3000000000002,833.3333333333334,0.0,0.0,6893.792100000002,7643.792100000002,220.86003000000008
75,12:20-12:30,0.4463,914.3048333333332,1259.0312000000001,488.6069666666665,833.3333333333334,0.0,0.0,7643.792100000002,8393.792100000002,218.06528922333325
76,12:30-12:40,0.4113,910.3937999999999,1245.4564,498.2707333333333,833.3333333333334,0.0,0.0,8393.792100000002,9143.792100000002,204.93875261999997
77,12:40-12:50,0.5682,927.6844333333333,1232.2362,0.0,304.5517666666667,0.0,0.0,9143.792100000002,9417.888690000002,0.0
78,12:50-13:00,0.8279,954.2924666666667,1218.79965,0.0,264.5071833333333,0.0,0.0,9417.888690000002,9655.945155000001,0.0
79,13:00-13:10,0.8636,956.5826166666667,1199.0901666666666,0.0,242.50754999999992,0.0,0.0,9655.945155000001,9874.20195,0.0
80,13:10-13:20,0.8416,952.4472666666667,1175.52285,0.0,223.07558333333338,0.0,0.0,9874.20195,10074.969975,0.0
81,13:20-13:30,0.8618,952.9750833333333,1151.7344,0.0,198.7593166666668,0.0,0.0,10074.969975,10253.853360000001,0.0
82,13:30-13:40,0.8623,951.3747666666667,1128.7345833333334,0.0,177.3598166666667,0.0,0.0,10253.853360000001,10413.477195000001,0.0
83,13:40-13:50,0.9026,949.4863666666666,1101.2266666666667,0.0,151.74030000000005,0.0,0.0,10413.477195000001,10550.043465,0.0
84,13:50-14:00,0.9754,948.7163833333334,1068.7514166666667,0.0,120.03503333333333,0.0,0.0,10550.043465,10658.074995,0.0
85,14:00-14:10,1.0002,947.85485,1035.6693,0.0,87.81444999999997,0.0,0.0,10658.074995,10737.108,0.0
86,14:10-14:20,0.9978,946.4936666666667,1000.1185333333333,0.0,53.62486666666655,0.0,0.0,10737.108,10785.37038,0.0
87,14:20-14:30,1.0271,944.9084666666666,961.1636,0.0,16.255133333333333,0.0,0.0,10785.37038,10800.0,0.0
88,14:30-14:40,1.0906,944.0324666666667,920.2511,0.0,0.0,23.781366666666713,0.0,10800.0,10773.57625925926,0.0
89,14:40-14:50,0.9376,945.4501833333334,878.1301666666667,0.0,0.0,67.32001666666667,0.0,10773.57625925926,10698.77624074074,0.0
90,14:50-15:00,0.6694,947.0423999999999,834.9525333333332,112.0898666666667,0.0,0.0,0.0,10698.77624074074,10698.77624074074,75.03295674666668
91,15:00-15:10,0.66,944.8365833333334,790.5747333333334,266.73269362139905,112.47084362139907,0.0,0.0,10698.77624074074,10800.0,176.04357779012338
92,15:10-15:20,0.7217,942.7275166666667,745.2040000000001,197.52351666666664,0.0,0.0,0.0,10800.0,10800.0,142.55272197833332
93,15:20-15:30,0.7308,942.8477833333333,698.03375,244.8140333333332,0.0,0.0,0.0,10800.0,10800.0,178.91009555999992
94,15:30-15:40,0.7534,943.7668,648.2321833333333,295.5346166666667,0.0,0.0,0.0,10800.0,10800.0,222.65578019666668
95,15:40-15:50,0.7823,944.8766,599.0991,345.77750000000003,0.0,0.0,0.0,10800.0,10800.0,270.50173825
96,15:50-16:00,0.8055,945.5794500000001,550.6479666666667,394.9314833333334,0.0,0.0,0.0,10800.0,10800.0,318.11730982500006
97,16:00-16:10,0.8271,945.1691000000001,499.73745,445.43165000000005,0.0,-0.0,0.0,10800.0,10800.0,368.416517715
98,16:10-16:20,0.8519,943.5987666666666,447.90218333333337,495.69658333333325,0.0,-0.0,0.0,10800.0,10800.0,422.2839193416666
99,16:20-16:30,0.8791,944.3153666666667,397.1963166666667,547.11905,0.0,-0.0,0.0,10800.0,10800.0,480.972356855
100,16:30-16:40,0.9024,948.1728666666667,348.18743333333333,599.9854333333333,0.0,-0.0,0.0,10800.0,10800.0,541.42685504
101,16:40-16:50,0.9163,933.9435666666667,298.5138166666667,635.42975,0.0,-0.0,0.0,10800.0,10800.0,582.244279925
102,16:50-17:00,0.9264,911.1187333333334,250.28805,660.8306833333334,0.0,-0.0,0.0,10800.0,10800.0,612.19354504
103,17:00-17:10,0.9462,911.2323166666666,209.19538333333333,702.0369333333333,0.0,-0.0,0.0,10800.0,10800.0,664.26734632
104,17:10-17:20,0.9742,910.7878333333333,172.72205,738.0657833333333,0.0,-0.0,0.0,10800.0,10800.0,719.0236861233333
105,17:20-17:30,0.9862,915.4076333333334,139.46291666666667,775.9447166666666,0.0,-0.0,0.0,10800.0,10800.0,765.2366795766666
106,17:30-17:40,0.976,936.9551333333334,110.87188333333334,826.08325,0.0,0.0,0.0,10800.0,10800.0,806.257252
107,17:40-17:50,1.0742,848.5354333333333,86.11263333333333,762.4228,0.0,-0.0,0.0,10800.0,10800.0,818.9945717600001
108,17:50-18:00,1.2313,701.4281333333333,64.44551666666666,636.9826166666667,0.0,-0.0,0.0,10800.0,10800.0,784.3166959016667
109,18:00-18:10,1.2561,687.12685,45.96555,531.8940499999999,0.0,109.26725000000005,0.0,10800.0,10678.591944444444,668.1121162049999
110,18:10-18:20,1.2447,709.3226333333333,30.492099999999997,678.8305333333333,0.0,0.0,0.0,10678.591944444444,10678.591944444444,844.9403648399999
111,18:20-18:30,1.2545,704.3254000000001,18.0569,686.2685,0.0,0.0,0.0,10678.591944444444,10678.591944444444,860.92383325
112,18:30-18:40,1.2522,705.5563999999999,9.052016666666667,696.5043833333333,0.0,0.0,0.0,10678.591944444444,10678.591944444444,872.1627888099999
113,18:40-18:50,1.2881,707.74375,3.1094833333333334,0.0,0.0,704.6342666666667,0.0,10678.591944444444,9895.664981481481,0.0
114,18:50-19:00,1.3466,706.5299166666667,0.04588333333333333,0.0,0.0,706.4840333333334,0.0,9895.664981481481,9110.682722222222,0.0
115,19:00-19:10,1.3523,707.4447333333333,0.038266666666666664,0.0,0.0,707.4064666666666,0.0,9110.682722222222,8324.675537037037,0.0
116,19:10-19:20,1.3445,708.6531166666667,0.10011666666666667,0.0,0.0,708.5530000000001,0.0,8324.675537037037,7537.394425925927,0.0
117,19:20-19:30,1.3483,709.4468833333334,0.0,0.0,0.0,709.4468833333334,0.0,7537.394425925927,6749.120111111112,0.0
118,19:30-19:40,1.349,711.23245,0.0,0.0,0.0,711.23245,0.0,6749.120111111112,5958.861833333334,0.0
119,19:40-19:50,1.3473,711.6625,0.0,0.0,0.0,711.6625,0.0,5958.861833333334,5168.125722222223,0.0
120,19:50-20:00,1.3482,711.4450333333333,0.0,0.0,0.0,711.4450333333333,0.0,5168.125722222223,4377.631240740741,0.0
121,20:00-20:10,1.3513,713.7040833333334,0.0,0.0,0.0,713.7040833333334,0.0,4377.631240740741,3584.626703703704,0.0
122,20:10-20:20,1.34,715.28415,0.0,0.0,0.0,715.28415,0.0,3584.626703703704,2789.8665370370372,0.0
123,20:20-20:30,1.3489,715.22685,0.0,0.0,0.0,715.22685,0.0,2789.8665370370372,1995.1700370370372,0.0
124,20:30-20:40,1.3952,715.6530333333334,0.0,0.0,0.0,715.6530333333334,0.0,1995.1700370370372,1200.0,0.0
125,20:40-20:50,1.2226,715.8689166666667,0.0,715.8689166666667,0.0,-0.0,0.0,1200.0,1200.0,875.2213375166666
126,20:50-21:00,0.9332,717.0051166666667,0.0,717.0051166666667,0.0,0.0,0.0,1200.0,1200.0,669.1091748733334
127,21:00-21:10,0.9068,720.1603,0.0,720.1603,0.0,0.0,0.0,1200.0,1200.0,653.0413600400001
128,21:10-21:20,0.9371,717.0548666666667,0.0,717.0548666666667,0.0,0.0,0.0,1200.0,1200.0,671.9521155533334
129,21:20-21:30,0.9371,720.4459666666667,0.0,720.4459666666667,0.0,0.0,0.0,1200.0,1200.0,675.1299153633333
130,21:30-21:40,0.9871,738.1347166666666,0.0,738.1347166666666,0.0,-0.0,0.0,1200.0,1200.0,728.6127788216666
131,21:40-21:50,0.7764,671.6935666666667,0.0,671.6935666666667,0.0,-0.0,0.0,1200.0,1200.0,521.50288516
132,21:50-22:00,0.4209,560.4569833333334,0.0,1393.7903166666667,833.3333333333334,0.0,0.0,1200.0,1950.0,586.646344285
133,22:00-22:10,0.3859,551.5655666666667,0.0,1384.8989000000001,833.3333333333334,0.0,0.0,1950.0,2700.0,534.4324855100001
134,22:10-22:20,0.4368,568.82605,0.0,568.82605,0.0,0.0,0.0,2700.0,2700.0,248.46321864
135,22:20-22:30,0.4198,563.6552166666667,0.0,1396.98855,833.3333333333334,0.0,0.0,2700.0,3450.0,586.45579329
136,22:30-22:40,0.4186,564.4265333333334,0.0,1397.7598666666668,833.3333333333334,0.0,0.0,3450.0,4200.0,585.1022801866668
137,22:40-22:50,0.4241,566.7474333333333,0.0,566.7474333333333,0.0,0.0,0.0,4200.0,4200.0,240.35758647666665
138,22:50-23:00,0.4237,566.5404333333333,0.0,1399.8737666666666,833.3333333333334,0.0,0.0,4200.0,4950.0,593.1265149366667
139,23:00-23:10,0.4248,567.83015,0.0,567.83015,0.0,0.0,0.0,4950.0,4950.0,241.21424772
140,23:10-23:20,0.424,569.3586333333334,0.0,569.3586333333334,0.0,0.0,0.0,4950.0,4950.0,241.40806053333336
141,23:20-23:30,0.422,570.3301833333334,0.0,1403.6635166666667,833.3333333333334,0.0,0.0,4950.0,5700.0,592.3460040333333
142,23:30-23:40,0.424,571.6153833333334,0.0,904.9487166666668,333.3333333333333,0.0,0.0,5700.0,6000.0,383.6982558666667
143,23:40-23:50,0.4271,573.1768333333333,0.0,573.1768333333333,0.0,0.0,0.0,6000.0,6000.0,244.80382551666665
144,23:50-24:00,0.4276,574.1209833333334,0.0,574.1209833333334,0.0,0.0,0.0,6000.0,6000.0,245.49413247333334
