slot,start_minute,end_minute,interval_label,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,price_source,load_source,pv_source
11,100,110,01:40-01:50,0.4333,3495.0841,0.0,582.5140166666666,0.0,附件/附件1.xlsx::Sheet1!B12,附件/附件1.xlsx::Sheet1!C12,附件/附件1.xlsx::Sheet1!D12
12,110,120,01:50-02:00,0.4311,3498.4443,0.0,583.07405,0.0,附件/附件1.xlsx::Sheet1!B13,附件/附件1.xlsx::Sheet1!C13,附件/附件1.xlsx::Sheet1!D13
13,120,130,02:00-02:10,0.4293,3505.2295,0.0,584.2049166666667,0.0,附件/附件1.xlsx::Sheet1!B14,附件/附件1.xlsx::Sheet1!C14,附件/附件1.xlsx::Sheet1!D14
14,130,140,02:10-02:20,0.4324,3512.6387,0.0,585.4397833333334,0.0,附件/附件1.xlsx::Sheet1!B15,附件/附件1.xlsx::Sheet1!C15,附件/附件1.xlsx::Sheet1!D15
15,140,150,02:20-02:30,0.4367,3516.8685,0.0,586.14475,0.0,附件/附件1.xlsx::Sheet1!B16,附件/附件1.xlsx::Sheet1!C16,附件/附件1.xlsx::Sheet1!D16
16,150,160,02:30-02:40,0.4348,3517.9246,0.0,586.3207666666666,0.0,附件/附件1.xlsx::Sheet1!B17,附件/附件1.xlsx::Sheet1!C17,附件/附件1.xlsx::Sheet1!D17
17,160,170,02:40-02:50,0.4335,3518.5518,0.0,586.4253,0.0,附件/附件1.xlsx::Sheet1!B18,附件/附件1.xlsx::Sheet1!C18,附件/附件1.xlsx::Sheet1!D18
18,170,180,02:50-03:00,0.4357,3521.0976,0.0,586.8496,0.0,附件/附件1.xlsx::Sheet1!B19,附件/附件1.xlsx::Sheet1!C19,附件/附件1.xlsx::Sheet1!D19
19,180,190,03:00-03:10,0.4374,3526.9261,0.0,587.8210166666667,0.0,附件/附件1.xlsx::Sheet1!B20,附件/附件1.xlsx::Sheet1!C20,附件/附件1.xlsx::Sheet1!D20
20,190,200,03:10-03:20,0.4371,3537.2854,0.0,589.5475666666667,0.0,附件/附件1.xlsx::Sheet1!B21,附件/附件1.xlsx::Sheet1!C21,附件/附件1.xlsx::Sheet1!D21
21,200,210,03:20-03:30,0.4356,3544.8808,0.0,590.8134666666666,0.0,附件/附件1.xlsx::Sheet1!B22,附件/附件1.xlsx::Sheet1!C22,附件/附件1.xlsx::Sheet1!D22
22,210,220,03:30-03:40,0.4353,3541.2787,0.0,590.2131166666667,0.0,附件/附件1.xlsx::Sheet1!B23,附件/附件1.xlsx::Sheet1!C23,附件/附件1.xlsx::Sheet1!D23
23,220,230,03:40-03:50,0.436,3546.3976,0.0,591.0662666666666,0.0,附件/附件1.xlsx::Sheet1!B24,附件/附件1.xlsx::Sheet1!C24,附件/附件1.xlsx::Sheet1!D24
24,230,240,03:50-04:00,0.4378,3560.207,0.0,593.3678333333334,0.0,附件/附件1.xlsx::Sheet1!B25,附件/附件1.xlsx::Sheet1!C25,附件/附件1.xlsx::Sheet1!D25
25,240,250,04:00-04:10,0.4401,3561.9581,0.0,593.6596833333333,0.0,附件/附件1.xlsx::Sheet1!B26,附件/附件1.xlsx::Sheet1!C26,附件/附件1.xlsx::Sheet1!D26
26,250,260,04:10-04:20,0.4389,3556.7183,0.0,592.7863833333333,0.0,附件/附件1.xlsx::Sheet1!B27,附件/附件1.xlsx::Sheet1!C27,附件/附件1.xlsx::Sheet1!D27
27,260,270,04:20-04:30,0.4364,3560.0272,0.0,593.3378666666666,0.0,附件/附件1.xlsx::Sheet1!B28,附件/附件1.xlsx::Sheet1!C28,附件/附件1.xlsx::Sheet1!D28
28,270,280,04:30-04:40,0.4393,3580.654,0.5994,596.7756666666667,0.0999,附件/附件1.xlsx::Sheet1!B29,附件/附件1.xlsx::Sheet1!C29,附件/附件1.xlsx::Sheet1!D29
29,280,290,04:40-04:50,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333,附件/附件1.xlsx::Sheet1!B30,附件/附件1.xlsx::Sheet1!C30,附件/附件1.xlsx::Sheet1!D30
30,290,300,04:50-05:00,0.4395,3571.2635,0.2885,595.2105833333334,0.04808333333333333,附件/附件1.xlsx::Sheet1!B31,附件/附件1.xlsx::Sheet1!C31,附件/附件1.xlsx::Sheet1!D31
31,300,310,05:00-05:10,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668,附件/附件1.xlsx::Sheet1!B32,附件/附件1.xlsx::Sheet1!C32,附件/附件1.xlsx::Sheet1!D32
32,310,320,05:10-05:20,0.4439,3591.3809,54.4698,598.5634833333334,9.0783,附件/附件1.xlsx::Sheet1!B33,附件/附件1.xlsx::Sheet1!C33,附件/附件1.xlsx::Sheet1!D33
33,320,330,05:20-05:30,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666668,附件/附件1.xlsx::Sheet1!B34,附件/附件1.xlsx::Sheet1!C34,附件/附件1.xlsx::Sheet1!D34
34,330,340,05:30-05:40,0.3713,3486.119,184.1603,581.0198333333334,30.693383333333333,附件/附件1.xlsx::Sheet1!B35,附件/附件1.xlsx::Sheet1!C35,附件/附件1.xlsx::Sheet1!D35
35,340,350,05:40-05:50,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667,附件/附件1.xlsx::Sheet1!B36,附件/附件1.xlsx::Sheet1!C36,附件/附件1.xlsx::Sheet1!D36
36,350,360,05:50-06:00,0.9099,4398.0727,388.5494,733.0121166666667,64.75823333333334,附件/附件1.xlsx::Sheet1!B37,附件/附件1.xlsx::Sheet1!C37,附件/附件1.xlsx::Sheet1!D37
37,360,370,06:00-06:10,0.9368,4454.0123,521.2803,742.3353833333334,86.88005,附件/附件1.xlsx::Sheet1!B38,附件/附件1.xlsx::Sheet1!C38,附件/附件1.xlsx::Sheet1!D38
38,370,380,06:10-06:20,0.8758,4371.7919,672.7677,728.6319833333333,112.12795,附件/附件1.xlsx::Sheet1!B39,附件/附件1.xlsx::Sheet1!C39,附件/附件1.xlsx::Sheet1!D39
39,380,390,06:20-06:30,0.8759,4392.953,844.2261,732.1588333333334,140.70435,附件/附件1.xlsx::Sheet1!B40,附件/附件1.xlsx::Sheet1!C40,附件/附件1.xlsx::Sheet1!D40
40,390,400,06:30-06:40,0.8601,4384.5956,1039.6744,730.7659333333332,173.2790666666667,附件/附件1.xlsx::Sheet1!B41,附件/附件1.xlsx::Sheet1!C41,附件/附件1.xlsx::Sheet1!D41
41,400,410,06:40-06:50,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335,附件/附件1.xlsx::Sheet1!B42,附件/附件1.xlsx::Sheet1!C42,附件/附件1.xlsx::Sheet1!D42
42,410,420,06:50-07:00,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334,附件/附件1.xlsx::Sheet1!B43,附件/附件1.xlsx::Sheet1!C43,附件/附件1.xlsx::Sheet1!D43
43,420,430,07:00-07:10,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845,附件/附件1.xlsx::Sheet1!B44,附件/附件1.xlsx::Sheet1!C44,附件/附件1.xlsx::Sheet1!D44
44,430,440,07:10-07:20,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333,附件/附件1.xlsx::Sheet1!B45,附件/附件1.xlsx::Sheet1!C45,附件/附件1.xlsx::Sheet1!D45
45,440,450,07:20-07:30,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685000000005,附件/附件1.xlsx::Sheet1!B46,附件/附件1.xlsx::Sheet1!C46,附件/附件1.xlsx::Sheet1!D46
46,450,460,07:30-07:40,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667,附件/附件1.xlsx::Sheet1!B47,附件/附件1.xlsx::Sheet1!C47,附件/附件1.xlsx::Sheet1!D47
47,460,470,07:40-07:50,0.86,4910.4599,2986.3552,818.4099833333333,497.72586666666666,附件/附件1.xlsx::Sheet1!B48,附件/附件1.xlsx::Sheet1!C48,附件/附件1.xlsx::Sheet1!D48
48,470,480,07:50-08:00,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666667,附件/附件1.xlsx::Sheet1!B49,附件/附件1.xlsx::Sheet1!C49,附件/附件1.xlsx::Sheet1!D49
49,480,490,08:00-08:10,1.1683,5884.826,3593.3613,980.8043333333334,598.89355,附件/附件1.xlsx::Sheet1!B50,附件/附件1.xlsx::Sheet1!C50,附件/附件1.xlsx::Sheet1!D50
50,490,500,08:10-08:20,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333334,附件/附件1.xlsx::Sheet1!B51,附件/附件1.xlsx::Sheet1!C51,附件/附件1.xlsx::Sheet1!D51
51,500,510,08:20-08:30,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333,附件/附件1.xlsx::Sheet1!B52,附件/附件1.xlsx::Sheet1!C52,附件/附件1.xlsx::Sheet1!D52
52,510,520,08:30-08:40,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333,附件/附件1.xlsx::Sheet1!B53,附件/附件1.xlsx::Sheet1!C53,附件/附件1.xlsx::Sheet1!D53
53,520,530,08:40-08:50,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666,附件/附件1.xlsx::Sheet1!B54,附件/附件1.xlsx::Sheet1!C54,附件/附件1.xlsx::Sheet1!D54
54,530,540,08:50-09:00,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666,附件/附件1.xlsx::Sheet1!B55,附件/附件1.xlsx::Sheet1!C55,附件/附件1.xlsx::Sheet1!D55
55,540,550,09:00-09:10,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999,附件/附件1.xlsx::Sheet1!B56,附件/附件1.xlsx::Sheet1!C56,附件/附件1.xlsx::Sheet1!D56
56,550,560,09:10-09:20,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667,附件/附件1.xlsx::Sheet1!B57,附件/附件1.xlsx::Sheet1!C57,附件/附件1.xlsx::Sheet1!D57
57,560,570,09:20-09:30,0.97,5923.7828,5788.4093,987.2971333333334,964.7348833333334,附件/附件1.xlsx::Sheet1!B58,附件/附件1.xlsx::Sheet1!C58,附件/附件1.xlsx::Sheet1!D58
58,570,580,09:30-09:40,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333334,附件/附件1.xlsx::Sheet1!B59,附件/附件1.xlsx::Sheet1!C59,附件/附件1.xlsx::Sheet1!D59
59,580,590,09:40-09:50,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666667,附件/附件1.xlsx::Sheet1!B60,附件/附件1.xlsx::Sheet1!C60,附件/附件1.xlsx::Sheet1!D60
60,590,600,09:50-10:00,0.9977,5902.2196,6409.5941,983.7032666666668,1068.2656833333333,附件/附件1.xlsx::Sheet1!B61,附件/附件1.xlsx::Sheet1!C61,附件/附件1.xlsx::Sheet1!D61
61,600,610,10:00-10:10,0.9919,5897.4793,6599.3808,982.9132166666667,1099.8968,附件/附件1.xlsx::Sheet1!B62,附件/附件1.xlsx::Sheet1!C62,附件/附件1.xlsx::Sheet1!D62
62,610,620,10:10-10:20,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334,附件/附件1.xlsx::Sheet1!B63,附件/附件1.xlsx::Sheet1!C63,附件/附件1.xlsx::Sheet1!D63
63,620,630,10:20-10:30,0.9549,5873.4708,6914.5923,978.9118,1152.4320500000001,附件/附件1.xlsx::Sheet1!B64,附件/附件1.xlsx::Sheet1!C64,附件/附件1.xlsx::Sheet1!D64
64,630,640,10:30-10:40,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755,附件/附件1.xlsx::Sheet1!B65,附件/附件1.xlsx::Sheet1!C65,附件/附件1.xlsx::Sheet1!D65
65,640,650,10:40-10:50,0.799,5844.9948,7197.4315,974.1658000000001,1199.5719166666665,附件/附件1.xlsx::Sheet1!B66,附件/附件1.xlsx::Sheet1!C66,附件/附件1.xlsx::Sheet1!D66
66,650,660,10:50-11:00,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857,附件/附件1.xlsx::Sheet1!B67,附件/附件1.xlsx::Sheet1!C67,附件/附件1.xlsx::Sheet1!D67
67,660,670,11:00-11:10,0.4662,5838.7103,7387.6848,973.1183833333333,1231.2808,附件/附件1.xlsx::Sheet1!B68,附件/附件1.xlsx::Sheet1!C68,附件/附件1.xlsx::Sheet1!D68
68,670,680,11:10-11:20,0.5007,5823.4378,7459.227,970.5729666666666,1243.2045,附件/附件1.xlsx::Sheet1!B69,附件/附件1.xlsx::Sheet1!C69,附件/附件1.xlsx::Sheet1!D69
69,680,690,11:20-11:30,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333,附件/附件1.xlsx::Sheet1!B70,附件/附件1.xlsx::Sheet1!C70,附件/附件1.xlsx::Sheet1!D70
70,690,700,11:30-11:40,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667,附件/附件1.xlsx::Sheet1!B71,附件/附件1.xlsx::Sheet1!C71,附件/附件1.xlsx::Sheet1!D71
71,700,710,11:40-11:50,0.4662,5712.901,7592.1539,952.1501666666667,1265.3589833333333,附件/附件1.xlsx::Sheet1!B72,附件/附件1.xlsx::Sheet1!C72,附件/附件1.xlsx::Sheet1!D72
72,710,720,11:50-12:00,0.4432,5519.4607,7601.0433,919.9101166666666,1266.8405500000001,附件/附件1.xlsx::Sheet1!B73,附件/附件1.xlsx::Sheet1!C73,附件/附件1.xlsx::Sheet1!D73
73,720,730,12:00-12:10,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332,附件/附件1.xlsx::Sheet1!B74,附件/附件1.xlsx::Sheet1!C74,附件/附件1.xlsx::Sheet1!D74
74,730,740,12:10-12:20,0.4551,5514.4524,7602.6524,919.0754000000001,1267.1087333333332,附件/附件1.xlsx::Sheet1!B75,附件/附件1.xlsx::Sheet1!C75,附件/附件1.xlsx::Sheet1!D75
75,740,750,12:20-12:30,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312000000001,附件/附件1.xlsx::Sheet1!B76,附件/附件1.xlsx::Sheet1!C76,附件/附件1.xlsx::Sheet1!D76
76,750,760,12:30-12:40,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564,附件/附件1.xlsx::Sheet1!B77,附件/附件1.xlsx::Sheet1!C77,附件/附件1.xlsx::Sheet1!D77
77,760,770,12:40-12:50,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2362,附件/附件1.xlsx::Sheet1!B78,附件/附件1.xlsx::Sheet1!C78,附件/附件1.xlsx::Sheet1!D78
78,770,780,12:50-13:00,0.8279,5725.7548,7312.7979,954.2924666666667,1218.79965,附件/附件1.xlsx::Sheet1!B79,附件/附件1.xlsx::Sheet1!C79,附件/附件1.xlsx::Sheet1!D79
79,780,790,13:00-13:10,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666,附件/附件1.xlsx::Sheet1!B80,附件/附件1.xlsx::Sheet1!C80,附件/附件1.xlsx::Sheet1!D80
80,790,800,13:10-13:20,0.8416,5714.6836,7053.1371,952.4472666666667,1175.52285,附件/附件1.xlsx::Sheet1!B81,附件/附件1.xlsx::Sheet1!C81,附件/附件1.xlsx::Sheet1!D81
81,800,810,13:20-13:30,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7344,附件/附件1.xlsx::Sheet1!B82,附件/附件1.xlsx::Sheet1!C82,附件/附件1.xlsx::Sheet1!D82
82,810,820,13:30-13:40,0.8623,5708.2486,6772.4075,951.3747666666667,1128.7345833333334,附件/附件1.xlsx::Sheet1!B83,附件/附件1.xlsx::Sheet1!C83,附件/附件1.xlsx::Sheet1!D83
83,820,830,13:40-13:50,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666667,附件/附件1.xlsx::Sheet1!B84,附件/附件1.xlsx::Sheet1!C84,附件/附件1.xlsx::Sheet1!D84
84,830,840,13:50-14:00,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666667,附件/附件1.xlsx::Sheet1!B85,附件/附件1.xlsx::Sheet1!C85,附件/附件1.xlsx::Sheet1!D85
85,840,850,14:00-14:10,1.0002,5687.1291,6214.0158,947.85485,1035.6693,附件/附件1.xlsx::Sheet1!B86,附件/附件1.xlsx::Sheet1!C86,附件/附件1.xlsx::Sheet1!D86
86,850,860,14:10-14:20,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333,附件/附件1.xlsx::Sheet1!B87,附件/附件1.xlsx::Sheet1!C87,附件/附件1.xlsx::Sheet1!D87
87,860,870,14:20-14:30,1.0271,5669.4508,5766.9816,944.9084666666666,961.1636,附件/附件1.xlsx::Sheet1!B88,附件/附件1.xlsx::Sheet1!C88,附件/附件1.xlsx::Sheet1!D88
88,870,880,14:30-14:40,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511,附件/附件1.xlsx::Sheet1!B89,附件/附件1.xlsx::Sheet1!C89,附件/附件1.xlsx::Sheet1!D89
89,880,890,14:40-14:50,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666667,附件/附件1.xlsx::Sheet1!B90,附件/附件1.xlsx::Sheet1!C90,附件/附件1.xlsx::Sheet1!D90
90,890,900,14:50-15:00,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332,附件/附件1.xlsx::Sheet1!B91,附件/附件1.xlsx::Sheet1!C91,附件/附件1.xlsx::Sheet1!D91
91,900,910,15:00-15:10,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334,附件/附件1.xlsx::Sheet1!B92,附件/附件1.xlsx::Sheet1!C92,附件/附件1.xlsx::Sheet1!D92
92,910,920,15:10-15:20,0.7217,5656.3651,4471.224,942.7275166666667,745.2040000000001,附件/附件1.xlsx::Sheet1!B93,附件/附件1.xlsx::Sheet1!C93,附件/附件1.xlsx::Sheet1!D93
93,920,930,15:20-15:30,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375,附件/附件1.xlsx::Sheet1!B94,附件/附件1.xlsx::Sheet1!C94,附件/附件1.xlsx::Sheet1!D94
94,930,940,15:30-15:40,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333,附件/附件1.xlsx::Sheet1!B95,附件/附件1.xlsx::Sheet1!C95,附件/附件1.xlsx::Sheet1!D95
95,940,950,15:40-15:50,0.7823,5669.2596,3594.5946,944.8766,599.0991,附件/附件1.xlsx::Sheet1!B96,附件/附件1.xlsx::Sheet1!C96,附件/附件1.xlsx::Sheet1!D96
96,950,960,15:50-16:00,0.8055,5673.4767,3303.8878,945.5794500000001,550.6479666666667,附件/附件1.xlsx::Sheet1!B97,附件/附件1.xlsx::Sheet1!C97,附件/附件1.xlsx::Sheet1!D97
97,960,970,16:00-16:10,0.8271,5671.0146,2998.4247,945.1691000000001,499.73745,附件/附件1.xlsx::Sheet1!B98,附件/附件1.xlsx::Sheet1!C98,附件/附件1.xlsx::Sheet1!D98
98,970,980,16:10-16:20,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337,附件/附件1.xlsx::Sheet1!B99,附件/附件1.xlsx::Sheet1!C99,附件/附件1.xlsx::Sheet1!D99
99,980,990,16:20-16:30,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667,附件/附件1.xlsx::Sheet1!B100,附件/附件1.xlsx::Sheet1!C100,附件/附件1.xlsx::Sheet1!D100
100,990,1000,16:30-16:40,0.9024,5689.0372,2089.1246,948.1728666666667,348.18743333333333,附件/附件1.xlsx::Sheet1!B101,附件/附件1.xlsx::Sheet1!C101,附件/附件1.xlsx::Sheet1!D101
101,1000,1010,16:40-16:50,0.9163,5603.6614,1791.0829,933.9435666666667,298.5138166666667,附件/附件1.xlsx::Sheet1!B102,附件/附件1.xlsx::Sheet1!C102,附件/附件1.xlsx::Sheet1!D102
102,1010,1020,16:50-17:00,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805,附件/附件1.xlsx::Sheet1!B103,附件/附件1.xlsx::Sheet1!C103,附件/附件1.xlsx::Sheet1!D103
103,1020,1030,17:00-17:10,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333,附件/附件1.xlsx::Sheet1!B104,附件/附件1.xlsx::Sheet1!C104,附件/附件1.xlsx::Sheet1!D104
104,1030,1040,17:10-17:20,0.9742,5464.727,1036.3323,910.7878333333333,172.72205,附件/附件1.xlsx::Sheet1!B105,附件/附件1.xlsx::Sheet1!C105,附件/附件1.xlsx::Sheet1!D105
105,1040,1050,17:20-17:30,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667,附件/附件1.xlsx::Sheet1!B106,附件/附件1.xlsx::Sheet1!C106,附件/附件1.xlsx::Sheet1!D106
106,1050,1060,17:30-17:40,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333334,附件/附件1.xlsx::Sheet1!B107,附件/附件1.xlsx::Sheet1!C107,附件/附件1.xlsx::Sheet1!D107
107,1060,1070,17:40-17:50,1.0742,5091.2126,516.6758,848.5354333333333,86.11263333333333,附件/附件1.xlsx::Sheet1!B108,附件/附件1.xlsx::Sheet1!C108,附件/附件1.xlsx::Sheet1!D108
108,1070,1080,17:50-18:00,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666,附件/附件1.xlsx::Sheet1!B109,附件/附件1.xlsx::Sheet1!C109,附件/附件1.xlsx::Sheet1!D109
109,1080,1090,18:00-18:10,1.2561,4122.7611,275.7933,687.12685,45.96555,附件/附件1.xlsx::Sheet1!B110,附件/附件1.xlsx::Sheet1!C110,附件/附件1.xlsx::Sheet1!D110
110,1090,1100,18:10-18:20,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997,附件/附件1.xlsx::Sheet1!B111,附件/附件1.xlsx::Sheet1!C111,附件/附件1.xlsx::Sheet1!D111
111,1100,1110,18:20-18:30,1.2545,4225.9524,108.3414,704.3254000000001,18.0569,附件/附件1.xlsx::Sheet1!B112,附件/附件1.xlsx::Sheet1!C112,附件/附件1.xlsx::Sheet1!D112
112,1110,1120,18:30-18:40,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667,附件/附件1.xlsx::Sheet1!B113,附件/附件1.xlsx::Sheet1!C113,附件/附件1.xlsx::Sheet1!D113
113,1120,1130,18:40-18:50,1.2881,4246.4625,18.6569,707.74375,3.1094833333333334,附件/附件1.xlsx::Sheet1!B114,附件/附件1.xlsx::Sheet1!C114,附件/附件1.xlsx::Sheet1!D114
114,1130,1140,18:50-19:00,1.3466,4239.1795,0.2753,706.5299166666667,0.04588333333333333,附件/附件1.xlsx::Sheet1!B115,附件/附件1.xlsx::Sheet1!C115,附件/附件1.xlsx::Sheet1!D115
115,1140,1150,19:00-19:10,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664,附件/附件1.xlsx::Sheet1!B116,附件/附件1.xlsx::Sheet1!C116,附件/附件1.xlsx::Sheet1!D116
116,1150,1160,19:10-19:20,1.3445,4251.9187,0.6007,708.6531166666667,0.10011666666666667,附件/附件1.xlsx::Sheet1!B117,附件/附件1.xlsx::Sheet1!C117,附件/附件1.xlsx::Sheet1!D117
117,1160,1170,19:20-19:30,1.3483,4256.6813,0.0,709.4468833333334,0.0,附件/附件1.xlsx::Sheet1!B118,附件/附件1.xlsx::Sheet1!C118,附件/附件1.xlsx::Sheet1!D118
118,1170,1180,19:30-19:40,1.349,4267.3947,0.0,711.23245,0.0,附件/附件1.xlsx::Sheet1!B119,附件/附件1.xlsx::Sheet1!C119,附件/附件1.xlsx::Sheet1!D119
119,1180,1190,19:40-19:50,1.3473,4269.975,0.0,711.6625,0.0,附件/附件1.xlsx::Sheet1!B120,附件/附件1.xlsx::Sheet1!C120,附件/附件1.xlsx::Sheet1!D120
120,1190,1200,19:50-20:00,1.3482,4268.6702,0.0,711.4450333333333,0.0,附件/附件1.xlsx::Sheet1!B121,附件/附件1.xlsx::Sheet1!C121,附件/附件1.xlsx::Sheet1!D121
121,1200,1210,20:00-20:10,1.3513,4282.2245,0.0,713.7040833333334,0.0,附件/附件1.xlsx::Sheet1!B122,附件/附件1.xlsx::Sheet1!C122,附件/附件1.xlsx::Sheet1!D122
122,1210,1220,20:10-20:20,1.34,4291.7049,0.0,715.28415,0.0,附件/附件1.xlsx::Sheet1!B123,附件/附件1.xlsx::Sheet1!C123,附件/附件1.xlsx::Sheet1!D123
123,1220,1230,20:20-20:30,1.3489,4291.3611,0.0,715.22685,0.0,附件/附件1.xlsx::Sheet1!B124,附件/附件1.xlsx::Sheet1!C124,附件/附件1.xlsx::Sheet1!D124
124,1230,1240,20:30-20:40,1.3952,4293.9182,0.0,715.6530333333334,0.0,附件/附件1.xlsx::Sheet1!B125,附件/附件1.xlsx::Sheet1!C125,附件/附件1.xlsx::Sheet1!D125
125,1240,1250,20:40-20:50,1.2226,4295.2135,0.0,715.8689166666667,0.0,附件/附件1.xlsx::Sheet1!B126,附件/附件1.xlsx::Sheet1!C126,附件/附件1.xlsx::Sheet1!D126
126,1250,1260,20:50-21:00,0.9332,4302.0307,0.0,717.0051166666667,0.0,附件/附件1.xlsx::Sheet1!B127,附件/附件1.xlsx::Sheet1!C127,附件/附件1.xlsx::Sheet1!D127
127,1260,1270,21:00-21:10,0.9068,4320.9618,0.0,720.1603,0.0,附件/附件1.xlsx::Sheet1!B128,附件/附件1.xlsx::Sheet1!C128,附件/附件1.xlsx::Sheet1!D128
128,1270,1280,21:10-21:20,0.9371,4302.3292,0.0,717.0548666666667,0.0,附件/附件1.xlsx::Sheet1!B129,附件/附件1.xlsx::Sheet1!C129,附件/附件1.xlsx::Sheet1!D129
129,1280,1290,21:20-21:30,0.9371,4322.6758,0.0,720.4459666666667,0.0,附件/附件1.xlsx::Sheet1!B130,附件/附件1.xlsx::Sheet1!C130,附件/附件1.xlsx::Sheet1!D130
