date,load_kwh,pv_actual_kwh,net_load_kwh,pv_surplus_intervals,price_min,price_max,price_mean
2025-01-25,80632.06428333333,42192.48881666667,38439.57546666667,34,0.2605,1.4005,0.7049715277777778
2025-01-26,126385.04865,38686.05861666667,87698.99003333332,0,0.3577,1.6006,0.9162173611111112
2025-01-27,125642.95023333334,41448.033449999995,84194.91678333333,5,0.3871,1.5717,0.8984333333333334
2025-01-28,126496.61093333333,39516.211566666665,86980.39936666666,0,0.3261,1.6056,0.9057340277777778
2025-01-29,125425.44486666667,44040.24381666666,81385.20105,4,0.3689,1.593,0.8898159722222222
2025-01-30,126011.04995,42268.46716666666,83742.58278333333,6,0.3538,1.5522,0.900129861111111
2025-01-31,80009.91998333334,41245.596933333334,38764.32305,33,0.2432,1.4161,0.7113951388888888
2025-02-01,76305.20628333333,41927.03035,34378.17593333333,35,0.2537,1.1766,0.6514930555555556
2025-02-02,121705.97265,43349.6947,78356.27795,7,0.3697,1.3998,0.8363881944444445
2025-02-03,122603.76900000001,42386.8525,80216.9165,4,0.3709,1.3447,0.8447902777777778
2025-02-04,121578.09885000001,40383.2349,81194.86395,7,0.381,1.3987,0.8491895833333333
2025-02-05,121991.08443333332,41242.65745,80748.42698333332,3,0.3423,1.3848,0.8482541666666666
2025-02-06,122252.1627,41981.10548333333,80271.05721666667,1,0.3228,1.447,0.8439645833333334
2025-02-07,76168.59693333333,44362.91726666666,31805.679666666667,35,0.2631,1.2102,0.6440388888888889
2025-02-08,75746.78751666666,44169.6248,31577.16271666667,40,0.2752,1.1675,0.6423513888888889
2025-02-09,121547.90356666666,41992.4876,79555.41596666667,4,0.3001,1.3378,0.8413840277777778
2025-02-10,121477.56451666668,47150.926933333336,74326.63758333333,15,0.3637,1.352,0.8180638888888888
2025-02-11,121441.28161666666,46220.68448333334,75220.59713333334,17,0.36,1.343,0.828492361111111
2025-02-12,121363.85288333334,46097.116749999994,75266.73613333334,13,0.3727,1.3314,0.8264243055555556
2025-02-13,121310.28371666667,49980.8047,71329.47901666666,19,0.3026,1.3496,0.8147909722222222
2025-02-14,75872.63795,46070.83613333333,29801.80181666667,42,0.2247,1.1609,0.6311
2025-02-15,76054.55225,46774.461149999996,29280.0911,42,0.2846,1.1564,0.6378472222222222
2025-02-16,121276.97728333333,45899.59818333333,75377.3791,8,0.34,1.3733,0.8303222222222222
2025-02-17,120960.37281666667,49776.50965,71183.86316666666,20,0.3597,1.3221,0.8173527777777778
2025-02-18,121331.27123333333,49239.88345,72091.38778333332,15,0.3707,1.3605,0.8145215277777778
2025-02-19,121866.79411666667,48987.466733333335,72879.32738333334,16,0.3736,1.3304,0.8164298611111112
2025-02-20,121105.25703333334,50112.1233,70993.13373333334,20,0.3079,1.3465,0.8168069444444445
2025-02-21,75802.00203333334,50241.74,25560.262033333333,43,0.2473,1.1504,0.62085
2025-02-22,75682.24226666667,47837.47938333333,27844.762883333333,43,0.2472,1.2217,0.6352840277777778
2025-02-23,121142.14093333333,49610.28725,71531.85368333333,18,0.3868,1.375,0.8153784722222223
2025-02-24,120628.98855000001,52425.954933333334,68203.03361666667,23,0.3649,1.3842,0.8082493055555555
2025-02-25,121093.33288333334,55272.00965,65821.32323333333,26,0.3725,1.3107,0.7940965277777778
2025-02-26,121060.73411666666,52245.88608333334,68814.84803333333,22,0.3378,1.3369,0.8055381944444444
2025-02-27,120599.48893333333,53642.90473333333,66956.5842,22,0.3235,1.3501,0.7979118055555555
2025-02-28,75385.10794999999,52092.51439999999,23292.59355,45,0.2409,1.1629,0.6166784722222222
2025-03-01,72244.16015,48585.39421666667,23658.765933333332,44,0.2405,1.1576,0.6142222222222222
2025-03-02,117860.41708333332,45502.110016666666,72358.30706666668,7,0.3093,1.3111,0.8122930555555556
2025-03-03,117958.74560000001,45941.598966666665,72017.14663333334,17,0.3264,1.3164,0.8118500000000001
2025-03-04,118139.02498333332,48939.567050000005,69199.45793333334,18,0.3381,1.3441,0.8006277777777778
2025-03-05,118073.44383333334,51942.971816666664,66130.47201666667,19,0.3644,1.3305,0.7945006944444445
2025-03-06,117673.59855,51732.944416666665,65940.65413333333,21,0.3327,1.3434,0.7918569444444444
2025-03-07,71680.36145,50758.07591666666,20922.285533333332,47,0.1545,1.1883,0.6085013888888889
2025-03-08,72344.71158333334,53281.57206666667,19063.139516666666,47,0.21,1.1729,0.5972631944444444
2025-03-09,117692.9865,54359.46145,63333.52505,22,0.3641,1.3356,0.7838090277777777
2025-03-10,117943.06436666666,49900.99291666667,68042.07145,19,0.3691,1.3308,0.8024513888888889
2025-03-11,117499.55295,53560.63415,63938.91879999999,25,0.3822,1.3372,0.7893930555555556
2025-03-12,118112.23683333333,55676.70215,62435.53468333333,28,0.35,1.3485,0.7801680555555556
2025-03-13,118237.27704999999,50691.65903333333,67545.61801666666,11,0.3312,1.3317,0.7996375
2025-03-14,72108.86895,56079.44296666666,16029.425983333334,47,0.1602,1.1955,0.5913868055555556
2025-03-15,72724.98178333334,51800.85663333334,20924.12515,48,0.2699,1.1777,0.6047722222222222
2025-03-16,117983.21598333334,54632.16905,63351.04693333333,24,0.3598,1.3095,0.784895138888889
2025-03-17,117693.62180000001,59835.490366666665,57858.13143333333,32,0.367,1.3189,0.7601756944444444
2025-03-18,117253.42358333334,56127.465216666664,61125.958366666666,25,0.3707,1.3196,0.7760166666666666
2025-03-19,117281.558,57816.08755,59465.47045,28,0.3401,1.3494,0.7718381944444445
2025-03-20,117648.38173333334,55439.419916666666,62208.96181666667,25,0.2794,1.3228,0.7786381944444445
2025-03-21,72593.53221666666,60560.06770000001,12033.464516666667,51,0.1352,1.1788,0.5702902777777777
2025-03-22,71936.92953333333,56055.7298,15881.199733333333,49,0.1546,1.1642,0.5873881944444445
2025-03-23,117739.97726666667,58970.25715,58769.720116666664,28,0.3404,1.3289,0.7671784722222221
2025-03-24,117425.17061666667,59426.67353333333,57998.49708333333,28,0.3336,1.3583,0.7674861111111111
2025-03-25,118053.16781666667,57103.0431,60950.124716666665,23,0.3706,1.3143,0.7712756944444444
2025-03-26,117704.6278,62112.07293333334,55592.554866666665,32,0.3654,1.3062,0.7566111111111111
2025-03-27,117952.59836666666,59235.608966666674,58716.9894,28,0.3125,1.3182,0.7664159722222222
2025-03-28,71891.76726666666,61069.8865,10821.880766666665,50,0.1269,1.1837,0.5747680555555555
2025-03-29,72118.27746666667,64411.068283333334,7707.209183333333,50,0.0913,1.1833,0.5630868055555556
2025-03-30,117994.70585000001,62649.086149999996,55345.6197,28,0.3471,1.3168,0.7520270833333333
2025-03-31,117075.66561666667,60124.27613333333,56951.38948333333,29,0.3473,1.3379,0.7607041666666666
2025-04-01,117967.14630000001,57758.29478333334,60208.85151666667,27,0.3582,1.3193,0.7731090277777778
2025-04-02,117986.62945000001,57551.29405,60435.3354,27,0.3693,1.3316,0.772320138888889
2025-04-03,117884.4561,62020.925833333335,55863.53026666667,30,0.3202,1.3867,0.7644638888888889
2025-04-04,71735.75181666667,65304.94956666667,6430.80225,53,0.0905,1.2001,0.5595027777777778
2025-04-05,72602.74256666667,60558.62758333333,12044.114983333333,53,0.1482,1.1736,0.5755284722222221
2025-04-06,117205.43058333332,62795.354316666664,54410.07626666667,32,0.3579,1.3107,0.7556868055555556
2025-04-07,117015.14203333332,63772.42275,53242.71928333333,32,0.3671,1.3349,0.7517159722222222
2025-04-08,117713.29026666666,63360.09665,54353.193616666664,30,0.3246,1.3574,0.7519159722222222
2025-04-09,117677.52253333334,58543.21151666666,59134.31101666667,27,0.3756,1.321,0.7662708333333333
2025-04-10,117668.70068333333,63208.062783333335,54460.6379,27,0.2828,1.3433,0.7580270833333334
2025-04-11,72091.99675,66775.34658333333,5316.650166666667,54,0.1092,1.1471,0.5514784722222221
2025-04-12,71957.17576666667,62932.01521666666,9025.16055,53,0.214,1.1558,0.5638673611111111
2025-04-13,117283.0622,63006.70371666667,54276.35848333334,31,0.3493,1.3312,0.7562548611111111
2025-04-14,117901.37268333333,65373.34088333333,52528.0318,32,0.3437,1.3446,0.7465972222222222
2025-04-15,117056.90516666666,66917.47633333334,50139.42883333334,34,0.3275,1.3283,0.7385326388888889
2025-04-16,117924.88506666665,62145.29311666667,55779.59195,28,0.3669,1.364,0.7623541666666667
2025-04-17,117487.04263333335,64618.70028333333,52868.34235,31,0.3043,1.3148,0.7477673611111111
2025-04-18,71490.16935,65136.05216666667,6354.117183333333,55,0.1948,1.1711,0.5594201388888889
2025-04-19,71905.41535,65120.7361,6784.67925,54,0.1113,1.1659,0.5579763888888889
2025-04-20,117197.81635,65240.07146666667,51957.74488333333,33,0.3618,1.3046,0.7454388888888889
2025-04-21,118481.63788333333,69964.7275,48516.910383333336,36,0.2898,1.3263,0.7339520833333333
2025-04-22,117811.00101666666,65658.0717,52152.92931666667,30,0.3534,1.3399,0.7509583333333334
2025-04-23,118030.51476666667,66630.59805,51399.91671666667,34,0.3289,1.3932,0.7479125
2025-04-24,117497.77966666665,70407.67296666667,47090.106700000004,38,0.3044,1.349,0.7361847222222222
2025-04-25,71763.32119999999,69762.96355,2000.3576500000008,59,0.1126,1.1686,0.5406916666666667
2025-04-26,72100.92436666666,72030.73073333333,70.19363333333258,55,0.0076,1.196,0.5378048611111111
2025-04-27,117032.52253333334,68459.05135000001,48573.471183333335,34,0.272,1.3177,0.7337826388888888
2025-04-28,117537.30080000001,60915.33348333333,56621.96731666667,27,0.3592,1.3403,0.7660520833333333
2025-04-29,117252.75871666666,69819.545,47433.21371666667,35,0.3089,1.3284,0.7303826388888889
2025-04-30,117682.88071666665,69426.02628333333,48256.854433333334,38,0.3282,1.3318,0.729442361111111
2025-05-01,120364.58391666667,69353.20511666666,51011.3788,34,0.2921,1.3606,0.7473263888888888
2025-05-02,74761.02673333333,60470.70665,14290.320083333334,52,0.2486,1.2187,0.5869513888888889
2025-05-03,74894.84928333333,66027.67763333333,8867.17165,53,0.14,1.2238,0.5698243055555555
2025-05-04,120670.08423333334,68935.4169,51734.66733333334,37,0.3732,1.3892,0.7461284722222222
2025-05-05,120612.16386666667,65536.15706666667,55076.0068,32,0.3375,1.3756,0.7604611111111111
2025-05-06,121017.1901,68147.10773333332,52870.08236666667,31,0.3324,1.343,0.7532361111111111
2025-05-07,121160.21501666667,66092.36906666667,55067.845949999995,31,0.347,1.3712,0.7587291666666667
2025-05-08,120445.47738333333,64618.96498333333,55826.5124,29,0.3201,1.4134,0.7616590277777777
2025-05-09,74253.82545,65754.4396,8499.38585,53,0.1705,1.1847,0.5667381944444444
2025-05-10,74647.98705,62526.94176666666,12121.045283333335,51,0.1241,1.1933,0.5753076388888889
2025-05-11,120743.09041666666,65259.01133333333,55484.07908333334,26,0.3089,1.3772,0.7607819444444445
2025-05-12,120448.60361666667,68517.40838333334,51931.19523333333,36,0.3229,1.3827,0.7517881944444444
2025-05-13,120269.63160000001,67140.41883333333,53129.212766666664,33,0.2841,1.3607,0.7564458333333334
2025-05-14,120592.00526666666,67577.85648333334,53014.14878333333,38,0.2722,1.3983,0.747551388888889
2025-05-15,119598.30981666666,66833.25153333333,52765.05828333334,33,0.3356,1.3271,0.7527770833333334
2025-05-16,74681.34475,71965.83821666667,2715.5065333333328,57,0.0992,1.2252,0.5453854166666666
2025-05-17,75274.53043333333,64825.731349999995,10448.799083333333,56,0.2134,1.2422,0.5734159722222222
2025-05-18,120687.037,67010.8689,53676.1681,35,0.377,1.3468,0.75068125
2025-05-19,120072.38798333333,72557.17143333334,47515.216550000005,37,0.2653,1.3957,0.7317597222222223
2025-05-20,120437.57771666667,65910.1829,54527.39481666667,33,0.3146,1.373,0.7565819444444445
2025-05-21,120283.05128333333,68920.436,51362.61528333334,33,0.311,1.3612,0.7458243055555556
2025-05-22,119729.68001666667,68913.0492,50816.630816666664,35,0.3239,1.3576,0.7461930555555556
2025-05-23,74983.38438333334,68562.4355,6420.9488833333335,56,0.1593,1.188,0.5569743055555556
2025-05-24,74693.81781666666,70939.31643333334,3754.5013833333337,62,0.1275,1.1755,0.5532048611111111
2025-05-25,120319.8776,71774.86741666666,48545.01018333333,37,0.3608,1.4094,0.7379618055555555
2025-05-26,119407.96936666667,64828.13641666667,54579.83295,34,0.3289,1.3799,0.7524722222222222
2025-05-27,120046.82734999999,70656.46005000001,49390.367300000005,37,0.3312,1.3497,0.7429215277777778
2025-05-28,119921.84721666668,67648.02311666666,52273.8241,34,0.2285,1.3888,0.7512673611111111
2025-05-29,120439.31426666667,66329.19076666667,54110.123499999994,33,0.3164,1.3731,0.7595125
2025-05-30,74612.22448333334,68015.99121666666,6596.233266666666,54,0.0389,1.2666,0.5609930555555556
2025-05-31,74778.33258333334,66389.15103333334,8389.18155,56,0.1409,1.2,0.5663548611111111
2025-06-01,128248.56003333333,57023.733733333334,71224.8263,6,0.3697,1.406,0.8191805555555556
2025-06-02,128080.53698333334,59439.72953333333,68640.80745000001,21,0.3546,1.3869,0.8099458333333334
2025-06-03,128076.84056666667,59884.47373333334,68192.36683333333,21,0.3586,1.4412,0.8062826388888888
2025-06-04,128539.84358333332,58894.58276666667,69645.26081666666,17,0.3598,1.4185,0.8136590277777778
2025-06-05,128455.92066666666,57306.60264999999,71149.31801666667,22,0.3403,1.4022,0.8220694444444444
2025-06-06,82747.415,51892.4196,30854.9954,45,0.2445,1.2673,0.6492826388888889
2025-06-07,83156.75975,52030.24658333333,31126.513166666668,46,0.2901,1.2859,0.6502881944444444
2025-06-08,128266.94665,63082.023383333326,65184.92326666667,28,0.3642,1.4164,0.7970791666666667
2025-06-09,128169.18798333332,57236.475249999996,70932.71273333333,20,0.3522,1.4169,0.81925625
2025-06-10,127414.49178333335,55796.047549999996,71618.44423333333,20,0.377,1.4372,0.8168180555555555
2025-06-11,128236.67731666665,52152.231,76084.44631666667,11,0.2889,1.442,0.8316965277777778
2025-06-12,127721.81298333332,55269.42155,72452.39143333332,15,0.3069,1.4394,0.8219833333333333
2025-06-13,81889.5904,53544.276699999995,28345.3137,45,0.2565,1.298,0.6400291666666666
2025-06-14,82253.15711666667,56059.814366666666,26193.34275,48,0.2585,1.238,0.6368673611111111
2025-06-15,127368.88451666666,56741.91018333333,70626.97433333333,9,0.3571,1.4464,0.8178270833333333
2025-06-16,127618.63201666666,54924.5792,72694.05281666666,13,0.3023,1.3988,0.8232416666666666
2025-06-17,127311.7546,52674.74338333333,74637.01121666667,6,0.3465,1.4509,0.8286263888888888
2025-06-18,126909.07891666667,55980.68801666666,70928.3909,11,0.3499,1.4109,0.82005
2025-06-19,127349.06689999999,59089.5627,68259.5042,22,0.3554,1.4236,0.8079104166666666
2025-06-20,81137.07971666667,58736.49886666667,22400.58085,51,0.2668,1.2402,0.6213069444444445
2025-06-21,81408.06480000001,62073.324400000005,19334.7404,51,0.1828,1.2633,0.6095256944444444
2025-06-22,126539.46191666667,59082.12081666666,67457.3411,19,0.3355,1.4122,0.8074916666666667
2025-06-23,126690.87308333332,59629.58708333334,67061.28600000001,22,0.3539,1.4023,0.8048722222222222
2025-06-24,127112.84501666667,50844.05276666667,76268.79225,3,0.3611,1.4158,0.8405347222222223
2025-06-25,126310.40843333333,55872.98706666666,70437.42136666666,10,0.3384,1.4004,0.8163465277777777
2025-06-26,126697.44536666667,59150.06153333333,67547.38383333334,17,0.3376,1.417,0.8059743055555555
2025-06-27,79563.255,59791.60913333334,19771.645866666666,52,0.1708,1.2437,0.6051201388888888
2025-06-28,80661.57280000001,58884.64668333333,21776.926116666666,47,0.1995,1.2402,0.6229888888888888
2025-06-29,126384.80871666667,57117.04018333333,69267.76853333334,12,0.3508,1.3938,0.8118270833333333
2025-06-30,125947.32058333333,56069.6366,69877.68398333334,15,0.3316,1.4347,0.8101881944444445
2025-07-01,141546.85106666668,62680.30703333334,78866.54403333332,21,0.3868,1.7322,0.8907618055555555
2025-07-02,141198.65821666666,68293.89185,72904.76636666666,26,0.4184,1.727,0.8753215277777778
2025-07-03,141565.53863333332,61805.1197,79760.41893333333,16,0.3737,1.7936,0.9014361111111112
2025-07-04,95795.06575000001,66914.19828333333,28880.867466666667,49,0.1337,1.5677,0.6903083333333333
2025-07-05,95872.8349,67082.75493333333,28790.079966666668,49,0.168,1.5334,0.68431875
2025-07-06,141244.57465,61450.5931,79793.98155,17,0.4315,1.7731,0.8986708333333334
2025-07-07,141495.39415,68085.91138333334,73409.48276666667,29,0.3983,1.7052,0.8773902777777778
2025-07-08,141285.22699999998,65713.83998333332,75571.38701666666,22,0.3935,1.7507,0.8836034722222222
2025-07-09,140590.70496666667,66531.97995,74058.72501666666,26,0.3976,1.7416,0.8791770833333333
2025-07-10,140463.54225,67609.91886666666,72853.62338333334,25,0.4072,1.7648,0.8775076388888888
2025-07-11,94741.08840000001,62222.31125,32518.777149999998,49,0.2855,1.5451,0.7069465277777778
2025-07-12,95318.3711,64234.127766666665,31084.243333333332,47,0.2556,1.5783,0.6942819444444445
2025-07-13,139893.36648333332,70625.64608333334,69267.7204,29,0.3392,1.7345,0.8542875
2025-07-14,141062.42346666666,69254.74425,71807.67921666666,27,0.3522,1.7345,0.8722152777777779
2025-07-15,139545.16266666667,66796.11208333333,72749.05058333333,27,0.3419,1.7416,0.8721083333333334
2025-07-16,140365.26538333335,68230.702,72134.56338333334,30,0.3718,1.6813,0.8758020833333333
2025-07-17,139569.15928333334,66848.74321666667,72720.41606666667,26,0.3696,1.7092,0.8748208333333333
2025-07-18,93698.0732,62423.825099999995,31274.2481,48,0.3031,1.5835,0.6942027777777777
2025-07-19,94564.5224,67381.70335,27182.819050000002,52,0.1583,1.5795,0.6802993055555555
2025-07-20,138750.53876666666,66660.56055000001,72089.97821666667,28,0.3497,1.7018,0.8676125
2025-07-21,138442.8198,64453.07045,73989.74935,27,0.3888,1.7317,0.8791791666666666
2025-07-22,139514.85881666667,65719.7142,73795.14461666667,20,0.3953,1.7059,0.8751333333333333
2025-07-23,139450.03365,65233.48653333334,74216.54711666667,27,0.4298,1.7196,0.8755840277777778
2025-07-24,138902.21751666666,65285.74551666667,73616.472,21,0.4014,1.7129,0.8774458333333333
2025-07-25,92354.83968333334,65849.52011666667,26505.31956666667,51,0.192,1.5162,0.67696875
2025-07-26,93187.68993333333,64718.598366666665,28469.091566666666,52,0.2778,1.5779,0.6880090277777778
2025-07-27,138110.19628333332,64425.00648333333,73685.18980000001,26,0.3756,1.6917,0.87713125
2025-07-28,138228.99843333333,60274.1212,77954.87723333333,18,0.3783,1.7444,0.8862368055555555
2025-07-29,138314.74511666666,62245.49916666667,76069.24595,15,0.4164,1.7497,0.8846277777777778
2025-07-30,138424.36443333334,64321.11038333334,74103.25405,27,0.3727,1.6898,0.8796965277777777
2025-07-31,137423.3137166667,62728.31745,74694.99626666667,22,0.381,1.7439,0.88143125
2025-08-01,92719.4241,71468.06443333333,21251.359666666667,52,0.1568,1.5892,0.6663972222222223
2025-08-02,91562.24421666667,70635.21928333332,20927.024933333334,50,0.1219,1.5378,0.6621875
2025-08-03,138062.48614999998,75223.00616666667,62839.47998333333,37,0.3408,1.692,0.83336875
2025-08-04,138312.10695000002,72896.45186666667,65415.65508333334,34,0.374,1.6947,0.8447847222222222
2025-08-05,136458.49728333333,71306.18755,65152.309733333335,33,0.3346,1.7018,0.8445958333333334
2025-08-06,136716.0878,68601.68853333333,68114.39926666666,32,0.3616,1.7116,0.8577486111111111
2025-08-07,136850.75446666667,73462.76921666667,63387.98525,35,0.3292,1.7422,0.8411048611111112
2025-08-08,90703.21611666666,74928.04486666666,15775.171250000001,52,0.0665,1.5268,0.6379520833333333
2025-08-09,90303.83175,71381.90275,18921.929,52,0.1714,1.5586,0.6529750000000001
2025-08-10,136535.44471666668,71230.82566666667,65304.61905,35,0.3761,1.7523,0.8486909722222222
2025-08-11,136422.26351666666,71861.01018333333,64561.253333333334,31,0.3636,1.7686,0.8396298611111112
2025-08-12,136637.5967,68877.05305,67760.54364999999,29,0.3472,1.7091,0.8573708333333333
2025-08-13,136547.99718333333,70427.01773333333,66120.97945,32,0.3789,1.7327,0.8531652777777778
2025-08-14,135936.05536666667,70009.76438333333,65926.29098333333,34,0.3843,1.7384,0.8501201388888888
2025-08-15,89968.05776666668,72808.33088333333,17159.726883333333,52,0.1119,1.6114,0.6512152777777778
2025-08-16,90183.53035,73254.24998333333,16929.280366666666,52,0.0685,1.5409,0.6473409722222222
2025-08-17,135369.1165,72203.72288333334,63165.39361666667,35,0.3386,1.7136,0.8399
2025-08-18,135710.17471666666,71316.0591,64394.11561666667,32,0.3325,1.7616,0.8475611111111111
2025-08-19,135364.48288333332,71046.82283333332,64317.660050000006,33,0.4324,1.7202,0.8429152777777777
2025-08-20,135048.05366666667,64397.3626,70650.69106666667,28,0.4085,1.7251,0.866348611111111
2025-08-21,134971.7989,69127.38041666667,65844.41848333333,29,0.4163,1.7157,0.8472069444444444
2025-08-22,90531.7304,69301.16100000001,21230.5694,51,0.1444,1.5612,0.6604708333333333
2025-08-23,89697.14623333333,67167.14008333333,22530.00615,51,0.1405,1.5209,0.6591965277777778
2025-08-24,135068.0714,71334.48191666667,63733.58948333334,30,0.3394,1.7075,0.8410215277777778
2025-08-25,134511.61375,63738.52673333333,70773.08701666667,28,0.3974,1.7083,0.8601569444444445
2025-08-26,134368.96393333332,68840.14555,65528.81838333333,31,0.3224,1.6987,0.8444180555555555
2025-08-27,133788.38210000002,65874.23323333333,67914.14886666667,28,0.3375,1.7058,0.8533875
2025-08-28,134543.81656666668,63776.02158333333,70767.79498333334,19,0.3748,1.7227,0.8635048611111111
2025-08-29,88328.33254999999,65773.1122,22555.22035,48,0.1616,1.5608,0.6645076388888889
2025-08-30,89025.08758333333,70512.36774999999,18512.719833333333,51,0.115,1.5978,0.6546625
2025-08-31,133365.35983333332,66718.73675,66646.62308333332,33,0.4046,1.7034,0.846538888888889
2025-09-01,121263.61926666666,67689.48473333333,53574.13453333333,37,0.3616,1.367,0.7517326388888889
2025-09-02,121532.82415,67475.0683,54057.755849999994,33,0.3185,1.3791,0.7539930555555556
2025-09-03,121433.71643333333,65885.99918333333,55547.717249999994,34,0.3744,1.3826,0.7609944444444445
2025-09-04,121061.17303333333,67135.60748333334,53925.56555,34,0.3556,1.3949,0.7569979166666667
2025-09-05,75132.98045,68308.71878333333,6824.261666666666,54,0.1454,1.2232,0.5586402777777777
2025-09-06,75826.37416666666,68105.29046666667,7721.083699999999,52,0.07,1.2147,0.5657111111111112
2025-09-07,120781.00903333334,65820.02541666667,54960.983616666665,35,0.3572,1.3878,0.7593138888888888
2025-09-08,121400.59243333334,62005.0229,59395.569533333335,29,0.3635,1.358,0.7735236111111111
2025-09-09,121082.23558333334,67979.40131666667,53102.834266666665,34,0.2568,1.377,0.7518833333333332
2025-09-10,121274.78848333332,59958.789833333336,61315.99865,25,0.3604,1.3717,0.7818236111111111
2025-09-11,120746.77835,67250.69256666666,53496.085783333336,33,0.301,1.368,0.7530638888888889
2025-09-12,75687.22711666666,64135.57091666667,11551.6562,51,0.112,1.219,0.5750854166666667
2025-09-13,75063.58311666666,67056.48163333333,8007.101483333333,50,0.0376,1.2673,0.5665159722222222
2025-09-14,121237.69566666667,61138.37091666667,60099.32475,32,0.3774,1.3811,0.77590625
2025-09-15,120760.02988333332,65692.99925000001,55067.030633333336,31,0.3138,1.3666,0.7617263888888889
2025-09-16,121843.35746666667,62351.58748333334,59491.76998333333,31,0.3741,1.3713,0.7779465277777777
2025-09-17,120924.795,60964.6766,59960.1184,29,0.3228,1.3545,0.7780548611111111
2025-09-18,120804.11636666667,61848.06525000001,58956.05111666667,30,0.355,1.4221,0.7698256944444445
2025-09-19,75287.12646666667,59185.774150000005,16101.35231666667,48,0.2021,1.2857,0.5932520833333332
2025-09-20,75330.72763333334,59685.2939,15645.433733333333,47,0.0958,1.2367,0.5874611111111111
2025-09-21,120862.28298333334,62574.7955,58287.48748333333,35,0.36,1.3742,0.7738493055555555
2025-09-22,121218.04173333333,60604.02185,60614.019883333334,31,0.381,1.3934,0.7821659722222223
2025-09-23,121182.28133333333,59065.66575000001,62116.61558333333,26,0.3271,1.3866,0.7817520833333333
2025-09-24,121014.19341666666,59950.968316666665,61063.2251,31,0.3701,1.3677,0.7761097222222222
2025-09-25,120546.34715,60210.89825,60335.448899999996,32,0.3266,1.3825,0.7776076388888888
2025-09-26,74194.35371666666,56500.11021666666,17694.2435,50,0.1786,1.1987,0.5928138888888889
2025-09-27,75945.77175,58144.4695,17801.30225,48,0.208,1.2231,0.5996840277777777
2025-09-28,120389.61958333333,56901.99041666667,63487.62916666667,26,0.3864,1.3665,0.7893881944444444
2025-09-29,121111.41480000001,58351.523199999996,62759.8916,27,0.3708,1.3651,0.7877583333333333
2025-09-30,120916.45506666666,55494.280300000006,65422.17476666666,24,0.3589,1.3781,0.7938243055555555
2025-10-01,117218.45471666666,67556.93318333333,49661.521533333325,33,0.2329,1.3138,0.7381555555555556
2025-10-02,117231.70978333334,65500.926666666666,51730.783116666666,33,0.3234,1.3383,0.7419722222222221
2025-10-03,71524.19113333333,63707.03743333334,7817.1537,51,0.0924,1.1747,0.5579645833333333
2025-10-04,72397.41483333333,59301.4324,13095.982433333333,50,0.132,1.1845,0.5858305555555555
2025-10-05,117604.42090000001,62868.459833333334,54735.96106666667,33,0.3247,1.303,0.7525611111111111
